Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
Star 0,25.734084,0.08610667918344082,-0.28399665636520083,0
Star 1,25.853454000000003,0.08610667918344082,-0.17005330405836405,1
Star 2,25.787002,0.08610667918344082,-0.18902860017779252,2
Star 3,25.390181,0.08610667918344082,-0.30530707366851595,3
Star 4,25.631389000000002,0.08610667918344082,-0.22679885764365562,4
Star 5,26.005204999999997,0.08610667918344082,-0.252432837262375,5
Star 6,25.500846000000003,0.08610667918344082,-0.23619777592540733,6
Star 7,25.796439000000003,0.08610667918344082,-0.22621355501880647,7
Star 8,25.811586,0.08610667918344082,-0.21688286250953287,8
Star 9,25.970779000000004,0.08610667918344082,-0.3010299956639812,9
Star 10,25.222109999999997,0.08610667918344082,-0.2116194846804367,10
Star 11,25.350176,0.08610667918344082,-0.1248808345374318,11
Star 12,25.421983,0.08610667918344082,-0.19436323369406502,12
Star 13,25.903326999999997,0.08610667918344082,-0.252432837262375,13
Star 14,25.662653000000002,0.08610667918344082,-0.2562551214075387,14
Star 15,25.605475000000002,0.08610667918344082,-0.21467016498923297,15
Star 16,25.831307000000002,0.08610667918344082,-0.21133678687914254,16
Star 17,25.455191,0.08610667918344082,-0.18203819546800604,17
Star 18,25.593429,0.08610667918344082,-0.11987267778337503,18
Star 19,25.552135,0.08610667918344082,-0.1938200260161128,19
Star 20,25.793576,0.08610667918344082,-0.230105964187831,20
Star 21,25.774321999999998,0.08610667918344082,-0.16140274718334363,21
Star 22,25.723499999999998,0.08610667918344082,-0.21346151950219755,22
Star 23,25.334896999999998,0.08610667918344082,-0.20488501436963671,23
Star 24,25.84551,0.08610667918344082,-0.2538330356227146,24
Star 25,25.695627,0.08610667918344082,-0.2596373105057561,25
Star 26,25.332257,0.08610667918344082,-0.1723722952325666,26
Star 27,25.862859999999998,0.08610667918344082,-0.19165396425960515,27
Star 28,25.599353,0.08610667918344082,-0.23247310059161805,28
Star 29,25.822165000000002,0.08610667918344082,-0.26344415283736405,29
Star 30,25.984950999999995,0.08610667918344082,-0.23657200643706275,30
Star 31,26.185098,0.08610667918344082,-0.27556027660292537,31
Star 32,26.081011999999998,0.08610667918344082,-0.28399665636520083,32
Star 33,25.417744000000003,0.08610667918344082,-0.1824346304402192,33
Star 34,25.244328,0.08610667918344082,-0.2758060804856704,34
Star 35,25.815495,0.08610667918344082,-0.2584544832237906,35
Star 36,26.102017,0.08610667918344082,-0.27802459841404653,36
