Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
Star 0,19.98300438106487,0.08610667918344082,-0.23738034455075663,0
Star 1,20.102478879001595,0.08610667918344082,-0.2207355303951584,1
Star 2,20.15785490104186,0.08610667918344082,-0.21282655222626504,2
Star 3,19.934078462731794,0.08610667918344082,-0.23552844678594645,3
Star 4,20.163487506248757,0.08610667918344082,-0.24425237391119445,4
Star 5,20.085684766762675,0.08610667918344082,-0.24400482789923453,5
Star 6,19.901616409269828,0.08610667918344082,-0.21590181326309563,6
Star 7,19.890857066818885,0.08610667918344082,-0.20444558164100768,7
Star 8,19.823724480810984,0.08610667918344082,-0.19766642635998707,8
Star 9,20.005489550619274,0.08610667918344082,-0.24126001101220979,9
Star 10,19.808183938927996,0.08610667918344082,-0.21011778275598425,10
Star 11,20.231498932348014,0.08610667918344082,-0.21533347727993193,11
Star 12,20.54072289193396,0.08610667918344082,-0.2800317438037743,12
Star 13,19.9302910672684,0.08610667918344082,-0.15911582196131466,13
Star 14,19.964743375089157,0.08610667918344082,-0.1577437849461194,14
Star 15,19.59643221971122,0.08610667918344082,-0.1771611994240824,15
Star 16,19.863709144755546,0.08610667918344082,-0.22293746270820178,16
Star 17,20.003921685595007,0.08610667918344082,-0.19972775155433833,17
Star 18,19.912882080679687,0.08610667918344082,-0.2641449102021462,18
Star 19,19.70018940511439,0.08610667918344082,-0.21232080312872975,19
Star 20,19.755304307542094,0.08610667918344082,-0.19440332557255932,20
Star 21,19.749736688412735,0.08610667918344082,-0.16793710675818338,21
Star 22,20.151498226231244,0.08610667918344082,-0.2215576744457388,22
Star 23,19.96825243059744,0.08610667918344082,-0.24057420710454847,23
Star 24,20.161167218161406,0.08610667918344082,-0.23712870929801352,24
Star 25,19.99225621505335,0.08610667918344082,-0.2297714045260215,25
Star 26,19.82708926993245,0.08610667918344082,-0.2215967857092543,26
Star 27,19.958757584647007,0.08610667918344082,-0.2151085807916479,27
Star 28,19.93584950882515,0.08610667918344082,-0.22775819613957854,28
Star 29,19.849336004066544,0.08610667918344082,-0.19871205758313273,29
Star 30,19.958976659566275,0.08610667918344082,-0.2068393629784521,30
Star 31,20.013360772957324,0.08610667918344082,-0.2506517267573209,31
Star 32,20.123510375542292,0.08610667918344082,-0.22484371703364053,32
Star 33,19.988213567819695,0.08610667918344082,-0.21426086663700403,33
Star 34,19.839227716831772,0.08610667918344082,-0.20818588577084907,34
