Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
V001,23.812937,0.08610667918344082,-0.24488773360492885,0
V002,23.938556000000005,0.08610667918344082,-0.24641694110709336,1
V004,23.859631999999998,0.08610667918344082,-0.22329881601158919,2
V005,23.909281999999994,0.08610667918344082,-0.23284413391781958,3
V008,23.537865999999994,0.08610667918344082,-0.10182351650232349,4
V010,23.899505,0.08610667918344082,-0.2358238676096693,5
V011,24.258001999999994,0.08610667918344082,-0.3196644865854368,6
V012,23.6875,0.08610667918344082,-0.2055119533408304,7
V013,23.92842899999999,0.08610667918344082,-0.28819277095880896,8
V015,23.504993000000002,0.08610667918344082,-0.15304467498017607,9
V016,23.656333,0.08610667918344082,-0.1911141326401879,10
V017,23.755003,0.08610667918344082,-0.1938200260161128,11
V019,23.931033000000003,0.08610667918344082,-0.24872089601665776,12
V020,23.906023,0.08610667918344082,-0.2410881076020265,13
V021,23.961383,0.08610667918344082,-0.2740883677049518,14
V022,23.806150000000006,0.08610667918344082,-0.19517932127883766,15
V023,23.652744,0.08610667918344082,-0.21183162885883233,16
V024,23.807362999999995,0.08610667918344082,-0.24565166428898116,17
V025,23.771074000000002,0.08610667918344082,-0.19449914184159983,18
V027,24.020327,0.08610667918344082,-0.2732727909734278,19
V029,23.932972000000003,0.08610667918344082,-0.28066871301627333,20
V030,23.806677999999987,0.08610667918344082,-0.22475374025976358,21
V031,23.878292,0.08610667918344082,-0.2410881076020265,22
V032,23.866951999999998,0.08610667918344082,-0.2433638917541519,23
V033,23.850018000000002,0.08610667918344082,-0.22914798835785583,24
V035,23.884282000000002,0.08610667918344082,-0.22475374025976358,25
V036,24.040174999999998,0.08610667918344082,-0.2433638917541519,26
V037,23.958226000000003,0.08610667918344082,-0.2596373105057561,27
V038,24.001231000000004,0.08610667918344082,-0.27002571430044436,28
V039,23.867678,0.08610667918344082,-0.2062096153091813,29
V040,24.019174999999997,0.08610667918344082,-0.2967086218813386,30
V041,23.987825000000004,0.08610667918344082,-0.23807216157947098,31
V042,23.997967000000003,0.08610667918344082,-0.27245874297144357,32
V043,23.886423999999995,0.08610667918344082,-0.2433638917541519,33
V044,23.949495,0.08610667918344082,-0.2740883677049518,34
