Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
V002,23.584860999999997,0.08610667918344082,-0.19044028536473223,0
V003,23.633678000000003,0.08610667918344082,-0.18375870000821692,1
V004,23.710404000000004,0.08610667918344082,-0.20342566678957033,2
V006,23.704475000000002,0.08610667918344082,-0.20273245916928356,3
V007,23.432941999999997,0.08610667918344082,-0.15119529894819625,4
V008,23.552728999999992,0.08610667918344082,-0.18508681872492605,5
V010,23.644479999999994,0.08610667918344082,-0.21752737583371382,6
V011,23.66215,0.08610667918344082,-0.21681130892474243,7
V012,23.557125,0.08610667918344082,-0.22112552799726048,8
V013,23.591333000000002,0.08610667918344082,-0.18708664335714442,9
V014,23.494201000000004,0.08610667918344082,-0.18976748200491597,10
V015,23.563871000000006,0.08610667918344082,-0.1797985405143598,11
V016,23.698617000000002,0.08610667918344082,-0.21183162885883233,12
V023,23.59387600000001,0.08610667918344082,-0.19449914184159983,13
V024,23.549073999999994,0.08610667918344082,-0.12784372725170717,14
V025,23.582601999999998,0.08610667918344082,-0.1979107421182673,15
V026,23.521465000000006,0.08610667918344082,-0.19314197048118265,16
V027,23.688088999999998,0.08610667918344082,-0.22040350874217546,17
V028,23.714236,0.08610667918344082,-0.20901152491118416,18
V029,23.566069,0.08610667918344082,-0.18708664335714442,19
V030,23.528729000000002,0.08610667918344082,-0.2006594505464183,20
V031,23.664952000000007,0.08610667918344082,-0.22475374025976358,21
V032,23.662602000000007,0.08610667918344082,-0.2182446253475311,22
V035,23.519262,0.08610667918344082,-0.2298847052128984,23
V036,23.680078999999996,0.08610667918344082,-0.21896306137886817,24
V037,23.586201,0.08610667918344082,-0.18177410638604458,25
V038,23.668013,0.08610667918344082,-0.21112488422458328,26
V039,23.892713000000004,0.08610667918344082,-0.2732727909734278,27
V040,23.542327999999998,0.08610667918344082,-0.1864190114318081,28
V041,23.613271999999995,0.08610667918344082,-0.2041199826559248,29
V042,23.673272,0.08610667918344082,-0.22112552799726048,30
V044,23.652414,0.08610667918344082,-0.2395775165767879,31
V045,23.61387600000001,0.08610667918344082,-0.22548303427145044,32
V046,23.667007999999992,0.08610667918344082,-0.1938200260161128,33
V047,23.637484999999995,0.08610667918344082,-0.22257317761068865,34
V049,23.577861,0.08610667918344082,-0.21112488422458328,35
V050,23.558343000000004,0.08610667918344082,-0.20273245916928356,36
V051,23.58681,0.08610667918344082,-0.18508681872492605,37
V053,23.58320599999999,0.08610667918344082,-0.19044028536473223,38
V054,23.645942000000012,0.08610667918344082,-0.22694530663573742,39
V055,23.525328000000002,0.08610667918344082,-0.16557929631846746,40
V056,23.533723999999992,0.08610667918344082,-0.19517932127883766,41
V059,23.652479999999997,0.08610667918344082,-0.22112552799726048,42
V062,23.455271999999994,0.08610667918344082,-0.149966742310231,43
V065,23.727678000000004,0.08610667918344082,-0.25258819211357675,44
V066,23.59240399999999,0.08610667918344082,-0.1857524042680798,45
V067,23.578003000000002,0.08610667918344082,-0.19928292171761497,46
V069,23.602678000000004,0.08610667918344082,-0.22841251911874466,47
V070,23.655078999999994,0.08610667918344082,-0.24412514432750865,48
V071,23.640946999999997,0.08610667918344082,-0.2196826878598487,49
V074,23.582606999999996,0.08610667918344082,-0.22767829327708017,50
V076,23.520860999999993,0.08610667918344082,-0.18375870000821692,51
V077,23.534003000000002,0.08610667918344082,-0.17392519729917355,52
V078,23.648414,0.08610667918344082,-0.22112552799726048,53
V079,23.650211,0.08610667918344082,-0.208309350979882,54
V080,23.735292,0.08610667918344082,-0.20901152491118416,55
V082,23.622663000000006,0.08610667918344082,-0.1890957193312996,56
V083,23.733886000000002,0.08610667918344082,-0.2479515521805615,57
V084,23.492794999999997,0.08610667918344082,-0.17587416608345102,58
V085,23.642678000000004,0.08610667918344082,-0.2062096153091813,59
V087,23.679479999999995,0.08610667918344082,-0.21896306137886817,60
V088,23.599074,0.08610667918344082,-0.20134935455473107,61
V089,23.620084000000002,0.08610667918344082,-0.22329881601158919,62
V090,23.50093199999999,0.08610667918344082,-0.1911141326401879,63
V091,23.695418999999994,0.08610667918344082,-0.2218487496163564,64
V092,23.77942400000001,0.08610667918344082,-0.23358715288760054,65
V093,23.591469999999997,0.08610667918344082,-0.20760831050174613,66
V094,23.558003000000003,0.08610667918344082,-0.18375870000821692,67
V096,23.611008000000005,0.08610667918344082,-0.21041928783557454,68
V097,23.568272,0.08610667918344082,-0.1917890270757779,69
V098,23.605876000000002,0.08610667918344082,-0.21112488422458328,70
V099,23.60266799999999,0.08610667918344082,-0.1938200260161128,71
V100,23.378358,0.08610667918344082,-0.19044028536473223,72
V101,23.640140000000002,0.08610667918344082,-0.2182446253475311,73
V102,23.661744,0.08610667918344082,-0.21752737583371382,74
V104,23.707551000000006,0.08610667918344082,-0.22402566887063094,75
V106,23.610069,0.08610667918344082,-0.1985962899826449,76
V107,23.599601999999997,0.08610667918344082,-0.20204035626280387,77
V108,23.759886,0.08610667918344082,-0.22694530663573742,78
V109,23.686282000000006,0.08610667918344082,-0.20204035626280387,79
V110,23.683149999999998,0.08610667918344082,-0.22112552799726048,80
V111,23.754210999999994,0.08610667918344082,-0.22694530663573742,81
V112,23.658733999999995,0.08610667918344082,-0.208309350979882,82
V114,23.614069000000008,0.08610667918344082,-0.22402566887063094,83
