Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
V7,21.5165,0.08610667918344082,-0.2201137391166196,0
V9,21.826549999999997,0.08610667918344082,-0.24047039624933517,1
V24,21.472489999999997,0.08610667918344082,-0.21629003921715084,2
V32,21.697869999999998,0.08610667918344082,-0.23630626957914266,3
V36,21.54051,0.08610667918344082,-0.25332299636816513,4
V38,20.834420000000005,0.08610667918344082,-0.24458032529796728,5
V42,20.91244,0.08610667918344082,-0.22884261742065912,6
V44,20.827769999999997,0.08610667918344082,-0.27012075188943074,7
V49,20.964420000000004,0.08610667918344082,-0.2141927036147778,8
V52,21.37716,0.08610667918344082,-0.2536167992806574,9
V53,21.232490000000006,0.08610667918344082,-0.25636059341875617,10
V59,20.683100000000003,0.08610667918344082,-0.19671021555827697,11
V64,21.339140000000004,0.08610667918344082,-0.2660040788562465,12
V65,22.081269999999996,0.08610667918344082,-0.27964410909749626,13
V66,20.693050000000003,0.08610667918344082,-0.2665317265911274,14
V67,21.156449999999996,0.08610667918344082,-0.2592387321644397,15
V68,21.643200000000004,0.08610667918344082,-0.2717451834545077,16
V70,21.916549999999997,0.08610667918344082,-0.254943799119202,17
V72,21.521829999999998,0.08610667918344082,-0.22043885973175062,18
V74,21.772539999999996,0.08610667918344082,-0.2926480478296908,19
V76,21.87122,0.08610667918344082,-0.26063654684149895,20
V77,20.671729999999997,0.08610667918344082,-0.23035501534978575,21
V81,21.36447,0.08610667918344082,-0.22437353472220098,22
V82,21.215790000000002,0.08610667918344082,-0.24326000816175006,23
V84,20.84244,0.08610667918344082,-0.21074583645667927,24
V87,20.83909,0.08610667918344082,-0.18578704263260193,25
V89,21.72721,0.08610667918344082,-0.2756786547731373,26
V93,20.965130000000002,0.08610667918344082,-0.22827593257199036,27
V96,21.467869999999998,0.08610667918344082,-0.19180510234788714,28
V98,21.667869999999997,0.08610667918344082,-0.20325988951792298,29
V105,20.939090000000007,0.08610667918344082,-0.2563920989429936,30
V106,21.301169999999995,0.08610667918344082,-0.22028773636007482,31
V111,21.44985,0.08610667918344082,-0.20873108091995513,32
V118,21.573860000000003,0.08610667918344082,-0.22428858025429116,33
V121,20.79041,0.08610667918344082,-0.23673699479737625,34
V132,21.329139999999995,0.08610667918344082,-0.23048132964168086,35
V134,21.11447,0.08610667918344082,-0.0681610937695467,36
V135,21.197819999999993,0.08610667918344082,-0.23012639945227695,37
37,20.86107,0.08610667918344082,-0.22337173712651476,38
V138,21.63051,0.08610667918344082,-0.2304923312811862,39
V142,20.93112,0.08610667918344082,-0.23126350927463438,40
V152,21.40315,0.08610667918344082,-0.25553192586168083,41
V153,21.4665,0.08610667918344082,-0.2508071242288977,42
V168,20.96244,0.08610667918344082,-0.23702150913225697,43
V169,21.221780000000003,0.08610667918344082,-0.2600791732177367,44
V171,20.416349999999994,0.08610667918344082,-0.25112114143292824,45
V180,21.412490000000005,0.08610667918344082,-0.20820622705495268,46
V185,20.787770000000005,0.08610667918344082,-0.13148251873660774,47
V186,21.223150000000004,0.08610667918344082,-0.21263936092396107,48
V187,20.90046,0.08610667918344082,-0.19991145409901115,49
V189,21.188480000000002,0.08610667918344082,-0.19973910170645698,50
V192,21.381170000000004,0.08610667918344082,-0.1754277299316964,51
V201,20.983759999999997,0.08610667918344082,-0.24694630627826056,52
V202,20.864419999999996,0.08610667918344082,-0.2357730409372144,53
V204,21.15848,0.08610667918344082,-0.1257362540309901,54
V205,21.514519999999997,0.08610667918344082,-0.20763352833283297,55
V213,21.12381,0.08610667918344082,-0.22019506856265145,56
V219,21.09244,0.08610667918344082,-0.23112003375353443,57
V222,21.5365,0.08610667918344082,-0.2466628811525852,58
V228,21.11178,0.08610667918344082,-0.22174380779652236,59
V229,21.723199999999995,0.08610667918344082,-0.22699928554379842,60
V232,20.785079999999997,0.08610667918344082,-0.2357237148547667,61
V234,20.734420000000004,0.08610667918344082,-0.14298127401418836,62
V235,20.80244,0.08610667918344082,-0.1802200961042422,63
V236,21.139799999999997,0.08610667918344082,-0.25135016031040414,64
V237,21.10381,0.08610667918344082,-0.22756093224896343,65
V239,21.810560000000002,0.08610667918344082,-0.1944532680868009,66
V245,21.49051,0.08610667918344082,-0.26600231602723373,67
