Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
V00409,23.576384,0.0825343564826188,-0.1974315016860435,0
V00424,23.631372,0.0825343564826188,-0.25103713874383854,1
V00425,24.017278,0.0825343564826188,-0.2746601840902628,2
V02120,23.433144,0.0825343564826188,-0.1408617027054692,3
V02157,23.806534,0.0825343564826188,-0.09691001300805639,4
V02193,23.678269999999998,0.0825343564826188,-0.25656863485331644,5
V02200,23.828522,0.0825343564826188,-0.2392760278580483,6
V02204,23.636741999999998,0.0825343564826188,-0.19880216554085114,7
V02224,23.943418000000005,0.0825343564826188,-0.23980377054486604,8
V02237,23.731455999999998,0.0825343564826188,-0.2036338450224787,9
