Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
V001,23.8248,0.0825343564826188,-0.19246497193114673,0
V005,23.794580000000003,0.0825343564826188,-0.2479515521805615,1
V006,23.843780000000002,0.0825343564826188,-0.26760624017703144,2
V007,23.6032,0.0825343564826188,-0.16685288808721488,3
V010,23.940740000000005,0.0825343564826188,-0.2924298239020636,4
V015,23.452180000000006,0.0825343564826188,-0.18976748200491597,5
V017,23.8743,0.0825343564826188,-0.2533658010624213,6
V019,23.960959999999996,0.0825343564826188,-0.28066871301627333,7
V020,23.704140000000006,0.0825343564826188,-0.1864190114318081,8
V022,23.774499999999996,0.0825343564826188,-0.1643094285075744,9
V023,23.634379999999997,0.0825343564826188,-0.1972262747080243,10
V024,23.691979999999997,0.0825343564826188,-0.2062096153091813,11
V026,23.721820000000005,0.0825343564826188,-0.18976748200491597,12
V031,23.776839999999996,0.0825343564826188,-0.21253952548158497,13
V032,23.84966,0.0825343564826188,-0.2549252084179425,14
V033,23.585440000000002,0.0825343564826188,-0.15304467498017607,15
V036,23.823700000000002,0.0825343564826188,-0.24412514432750865,16
V040,23.593980000000002,0.0825343564826188,-0.15552282425431854,17
V042,23.479119999999995,0.0825343564826188,-0.11747546204511952,18
V044,23.662920000000003,0.0825343564826188,-0.15181088300860132,19
V046,23.61632,0.0825343564826188,-0.1700533040583641,20
V048,23.7165,0.0825343564826188,-0.21112488422458328,21
V052,23.555660000000007,0.0825343564826188,-0.15989390554324215,22
V055,23.761819999999997,0.0825343564826188,-0.21467016498923297,23
V056,24.02034,0.0825343564826188,-0.29328221766324125,24
V063,23.845160000000003,0.0825343564826188,-0.21896306137886817,25
V064,23.549559999999996,0.0825343564826188,-0.13727247168202533,26
V067,23.89838,0.0825343564826188,-0.24260397120697574,27
V069,23.553940000000008,0.0825343564826188,-0.1366771398795441,28
V071,23.8135,0.0825343564826188,-0.19586056766464957,29
V072,23.860939999999992,0.0825343564826188,-0.2628073572952627,30
V074,23.833180000000002,0.0825343564826188,-0.2395775165767879,31
V078,23.638,0.0825343564826188,-0.1390633792999063,32
V080,23.926,0.0825343564826188,-0.2740883677049518,33
V082,23.877380000000002,0.0825343564826188,-0.23732143627256383,34
