Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
V002,23.48552,0.0825343564826188,-0.22112552799726048,0
V003,23.430599999999995,0.0825343564826188,-0.2041199826559248,1
V004,23.383339999999997,0.0825343564826188,-0.1784864715952269,2
V005,23.288980000000006,0.0825343564826188,-0.11407366019856895,3
V006,23.367200000000004,0.0825343564826188,-0.22914798835785583,4
V007,23.5038,0.0825343564826188,-0.21752737583371382,5
V008,23.478880000000004,0.0825343564826188,-0.2062096153091813,6
V011,23.43971999999999,0.0825343564826188,-0.21324857785443882,7
V012,23.312740000000005,0.0825343564826188,-0.1938200260161128,8
V014,23.63734,0.0825343564826188,-0.20690839982341983,9
V015,23.86942,0.0825343564826188,-0.24412514432750865,10
V016,23.9359,0.0825343564826188,-0.2549252084179425,11
V018,23.904999999999994,0.0825343564826188,-0.24260397120697574,12
V019,23.627379999999995,0.0825343564826188,-0.19314197048118265,13
V020,23.27453999999999,0.0825343564826188,-0.12436006299583167,14
V021,23.572720000000004,0.0825343564826188,-0.20134935455473107,15
V022,23.521459999999998,0.0825343564826188,-0.1778319206319825,16
V023,23.6687,0.0825343564826188,-0.2218487496163564,17
V024,23.59622,0.0825343564826188,-0.15058058620310055,18
V026,23.5405,0.0825343564826188,-0.20971483596675833,19
V027,23.592440000000007,0.0825343564826188,-0.16178077809237415,20
V028,23.48295999999999,0.0825343564826188,-0.34198860334288755,21
V030,23.626440000000006,0.0825343564826188,-0.2182446253475311,22
V031,23.840859999999992,0.0825343564826188,-0.2620126736665692,23
V032,23.5036,0.0825343564826188,-0.10957898119908573,24
V033,23.54686,0.0825343564826188,-0.2055119533408304,25
V035,23.629880000000004,0.0825343564826188,-0.1972262747080243,26
V036,23.56206000000001,0.0825343564826188,-0.22841251911874466,27
V037,23.442960000000003,0.0825343564826188,-0.20760831050174613,28
V038,23.438200000000002,0.0825343564826188,-0.20204035626280387,29
V039,23.40616,0.0825343564826188,-0.21253952548158497,30
V043,23.778620000000004,0.0825343564826188,-0.3053948010664313,31
V044,23.18972,0.0825343564826188,-0.11520463605101904,32
V045,23.345739999999996,0.0825343564826188,-0.17457388223217687,33
V046,23.612559999999995,0.0825343564826188,-0.2196826878598487,34
V047,23.301520000000007,0.0825343564826188,-0.19517932127883766,35
V048,23.33258000000001,0.0825343564826188,-0.15058058620310055,36
V049,23.388640000000002,0.0825343564826188,-0.17134010346468015,37
V051,23.476599999999994,0.0825343564826188,-0.21896306137886817,38
V054,23.775239999999997,0.0825343564826188,-0.3196644865854368,39
V055,23.473460000000003,0.0825343564826188,-0.21681130892474243,40
V056,23.462920000000004,0.0825343564826188,-0.24033215531036956,41
V057,23.668660000000003,0.0825343564826188,-0.27083521030722996,42
V058,23.692140000000002,0.0825343564826188,-0.26440110030182007,43
V059,23.29804,0.0825343564826188,-0.12551818230053347,44
V060,23.373839999999998,0.0825343564826188,-0.16178077809237415,45
V061,23.358079999999994,0.0825343564826188,-0.17522353752445438,46
V062,23.529219999999988,0.0825343564826188,-0.24412514432750865,47
V063,23.389419999999998,0.0825343564826188,-0.208309350979882,48
V064,23.361839999999997,0.0825343564826188,-0.15989390554324215,49
V066,23.562660000000005,0.0825343564826188,-0.28483264215154214,50
V067,23.415039999999998,0.0825343564826188,-0.20204035626280387,51
V068,23.580700000000007,0.0825343564826188,-0.2620126736665692,52
V069,23.627779999999998,0.0825343564826188,-0.2388241868442685,53
V071,23.593120000000006,0.0825343564826188,-0.2652001704111531,54
V072,23.51264,0.0825343564826188,-0.2410881076020265,55
V074,23.40543999999999,0.0825343564826188,-0.22402566887063094,56
V075,23.55584,0.0825343564826188,-0.2732727909734278,57
V077,23.44642,0.0825343564826188,-0.21183162885883233,58
V078,23.44733999999999,0.0825343564826188,-0.23210238398190938,59
V079,23.410999999999998,0.0825343564826188,-0.23507701535011147,60
V081,23.597820000000002,0.0825343564826188,-0.23657200643706275,61
V082,23.626800000000003,0.0825343564826188,-0.266000713461613,62
V084,23.45896,0.0825343564826188,-0.20273245916928356,63
V086,23.7227,0.0825343564826188,-0.28819277095880896,64
V087,23.463399999999993,0.0825343564826188,-0.22767829327708017,65
V089,23.45982,0.0825343564826188,-0.1643094285075744,66
V090,23.864700000000003,0.0825343564826188,-0.30451832350980257,67
V091,23.62786,0.0825343564826188,-0.2732727909734278,68
V093,23.493380000000002,0.0825343564826188,-0.2479515521805615,69
V094,23.59348,0.0825343564826188,-0.2831622767004755,70
V096,23.6393,0.0825343564826188,-0.28567024025476695,71
V098,23.786420000000003,0.0825343564826188,-0.28735029837278864,72
V100,23.306740000000005,0.0825343564826188,-0.15739076038943792,73
V101,23.492979999999996,0.0825343564826188,-0.19654288435158612,74
V103,23.471619999999998,0.0825343564826188,-0.208309350979882,75
V104,23.588199999999997,0.0825343564826188,-0.266000713461613,76
V105,23.373479999999994,0.0825343564826188,-0.14508697769214446,77
V106,23.318000000000005,0.0825343564826188,-0.1917890270757779,78
V107,23.39623999999999,0.0825343564826188,-0.2182446253475311,79
V108,23.4065,0.0825343564826188,-0.22329881601158919,80
V109,23.638520000000003,0.0825343564826188,-0.2620126736665692,81
V110,23.372839999999993,0.0825343564826188,-0.20481541031757602,82
V112,23.47464,0.0825343564826188,-0.2218487496163564,83
V115,23.597300000000008,0.0825343564826188,-0.24565166428898116,84
V116,23.598079999999996,0.0825343564826188,-0.2636034977233575,85
V118,23.593500000000006,0.0825343564826188,-0.2692177243336109,86
V119,23.55552,0.0825343564826188,-0.2410881076020265,87
V120,23.56928,0.0825343564826188,-0.27245874297144357,88
V121,23.654500000000002,0.0825343564826188,-0.28399665636520083,89
V123,23.562040000000003,0.0825343564826188,-0.2410881076020265,90
V124,23.638800000000003,0.0825343564826188,-0.27818938478745336,91
V125,23.456,0.0825343564826188,-0.2006594505464183,92
V126,23.4511,0.0825343564826188,-0.23136189875238547,93
V128,23.5967,0.0825343564826188,-0.2831622767004755,94
V129,23.498759999999997,0.0825343564826188,-0.21395878975744578,95
