Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
V002,19.633199999999995,0.0825343564826188,-0.2186611734760793,0
V003,19.56102,0.0825343564826188,-0.2212845334509808,1
V005,19.549780000000002,0.0825343564826188,-0.22257317761068865,2
V008,19.474239999999998,0.0825343564826188,-0.18720692617667684,3
V010,19.333940000000002,0.0825343564826188,-0.20685944829288544,4
V012,19.47336,0.0825343564826188,-0.19346052473374967,5
V013,19.496459999999995,0.0825343564826188,-0.18815029593436522,6
V014,19.532740000000004,0.0825343564826188,-0.21583934877808844,7
V015,19.41888,0.0825343564826188,-0.19536996257455397,8
V020,19.3971,0.0825343564826188,-0.20547012924097266,9
V021,19.53694,0.0825343564826188,-0.19523378168168082,10
V022,19.733100000000004,0.0825343564826188,-0.22350221221999175,11
V023,19.763520000000003,0.0825343564826188,-0.21173261534615498,12
V025,19.61666,0.0825343564826188,-0.2151118035301043,13
V035,19.393879999999996,0.0825343564826188,-0.1995647548182714,14
V046,19.732660000000003,0.0825343564826188,-0.21038403809066633,15
V050,19.592179999999995,0.0825343564826188,-0.22919951787870682,16
V052,19.556599999999996,0.0825343564826188,-0.2003011331164681,17
V056,19.728839999999995,0.0825343564826188,-0.2467387599301953,18
V057,19.502559999999995,0.0825343564826188,-0.1990699497533214,19
V065,19.467760000000002,0.0825343564826188,-0.18689292441469293,20
V066,19.516039999999997,0.0825343564826188,-0.2067615617814325,21
V068,19.45094,0.0825343564826188,-0.1852730798786143,22
V070,19.48162,0.0825343564826188,-0.20597228447111163,23
V073,19.541500000000003,0.0825343564826188,-0.19028544827073224,24
V077,19.542499999999993,0.0825343564826188,-0.21254661027806643,25
V078,19.6504,0.0825343564826188,-0.22082213369274534,26
V083,19.568920000000002,0.0825343564826188,-0.20737721525707775,27
