,Galaxy Name,Apparent V Magnitude,Error in Magnitude,V Band Extinction,Mean Metallicity,Error in Mean Metallicity
0,Andromeda I,12.7,0.1,0.145,-1.45,0.04
1,Andromeda II,11.7,0.2,0.16699999999999998,-1.64,0.04
2,Andromeda III,14.4,0.3,0.152,-1.78,0.04
3,Andromeda XI,17.5,1.2,0.21899999999999997,-2.0,0.2
4,Andromeda XIII,18.1,1.2,0.226,-1.9,0.2
5,Andromeda XV,14.6,0.3,0.128,-1.8,0.2
6,Andromeda XVI,14.4,0.3,0.182,-2.1,0.2
7,Andromeda XXVIII,15.6,0.9,0.247,-1.84,0.15
8,Bootes I,12.8,0.2,0.047,-2.55,0.11
9,Carina I,11.0,0.5,0.16899999999999998,-1.72,0.01
10,Carina II,13.3,0.1,0.513,-1.8,0.1
11,Cetus,13.2,0.2,0.055,-1.9,0.1
12,Coma Berenices,14.1,0.5,0.046,-2.6,0.05
13,Crater II,12.15,0.02,0.083,-1.92,0.1
14,Draco,10.6,0.2,0.07400000000000001,-1.93,0.01
15,Eridanus II,15.74,0.05,0.027999999999999997,-2.38,0.13
16,ESO294-G010,15.3,0.3,0.016,-1.48,0.17
17,ESO410-G005,14.9,0.3,0.037000000000000005,-1.93,0.2
18,Fornax,7.4,0.3,0.057999999999999996,-0.99,0.01
19,Grus I,17.1,0.3,0.023,-2.5,0.3
20,IC 1613,9.2,0.1,0.068,-1.6,0.2
21,Leo A,12.4,0.2,0.057,-1.4,0.2
22,Leo I,10.0,0.3,0.099,-1.43,0.01
23,Leo P,16.8,0.2,0.071,-1.8,0.2
24,Leo T,15.1,0.5,0.086,-1.99,0.05
25,NGC 147,9.5,0.1,0.473,-1.1,0.1
26,NGC 185,9.2,0.1,0.505,-1.3,0.1
27,Phoenix I,13.2,0.4,0.044000000000000004,-1.37,0.2
28,Phoenix II,17.3,0.4,0.034,-2.75,0.3
29,Sculptor,8.6,0.5,0.05,-1.68,0.01
30,Tucana,15.2,0.2,0.085,-1.95,0.15
