,Star,Log Period,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Distance Modulus,Uncertainty in Distance Modulus,Metallicity,Star Code
0,AB UMa,-0.2221520437120682,9.50581,0.02583200375503225,9.997764690408179,0.045944319657498484,-0.49,0
1,AN Ser,-0.28227006428720297,9.728636999999999,0.022961781115584216,9.975246477018104,0.0531955963946416,-0.07,1
2,AV Peg,-0.40851833651363645,9.237500000000002,0.022961781115584216,9.13039332058654,0.028531669963879767,-0.08,2
3,BB Pup,-0.3182624667580053,10.784881,0.020091558476136192,11.00989804255231,0.07794296485805118,-0.6,3
4,BH Peg,-0.19314671319252863,8.913729000000004,0.014351113197240136,9.638157926564691,0.0463596504872081,-1.22,4
5,DX Del,-0.3254909089878608,8.545480000000003,0.020091558476136192,8.79300539575646,0.020967451138137888,-0.39,5
6,HK Pup,-0.13418130175254833,9.819465000000003,0.014351113197240136,10.46568432452028,0.05208685581915696,-1.11,6
7,RR Cet,-0.2572520943557897,8.479631999999997,0.017221335836688164,8.943523616222436,0.031932047379314085,-1.45,7
8,RR Gem,-0.4008923662294992,10.177175000000002,0.0315724490339283,10.306545078140408,0.09203728821527855,-0.29,8
9,RR Leo,-0.3444838356532483,9.640388,0.020091558476136192,9.825711311193524,0.05548078401046495,-1.6,9
10,RU Scl,-0.3068404659994043,9.169789,0.011480890557792108,9.489488671631989,0.06067924070584353,-1.27,11
11,RV Oct,-0.24324031414801367,9.428394000000003,0.020091558476136192,9.982317065711904,0.028417631336422708,-1.71,12
12,RV UMa,-0.32969847171499234,9.785875,0.06027467542840858,10.097933759497959,0.035123896734110635,-1.2,13
13,RX Eri,-0.23117977001808754,8.305814999999997,0.008610667918344082,8.837664914805224,0.03209396433514934,-1.33,14
14,ST Boo,-0.2060099695299767,9.815048000000004,0.03444267167337633,10.543834548205727,0.06683397515883385,-1.76,15
15,SU Dra,-0.18017977656471143,8.559834999999998,0.020091558476136192,9.371968973694457,0.026230748460462843,-1.8,16
16,SV Eri,-0.14639121099923086,8.54281,0.011480890557792108,9.33082615732414,0.04218305062576755,-1.7,17
17,SV Hya,-0.32007921363934044,9.356306999999997,0.017221335836688164,9.705357589463768,0.0581183722708756,-1.5,18
18,SW And,-0.3543221420188453,8.401759,0.021609833409816006,8.499791625568516,0.03471273223489345,-0.24,19
19,SW Dra,-0.24437670415176363,9.252302000000004,0.020091558476136192,9.881618600816376,0.04284806697517187,-1.12,20
20,TT Lyn,-0.22370980724590014,8.533154999999999,0.0315724490339283,9.171090455106945,0.02657651444810877,-1.56,21
21,TU UMa,-0.2536315180084685,8.589901000000001,0.020091558476136192,8.988771676356077,0.03847392333918605,-1.51,22
22,TW Her,-0.3983744074164751,10.183256,0.014351113197240136,10.224579828904536,0.040182848740708293,-0.69,23
23,UU Vir,-0.32275002708798844,9.468119000000002,0.020091558476136192,9.487435093301775,0.0902903000559208,-0.87,24
24,UV Oct,-0.26553621877516176,8.161022999999998,0.020091558476136192,8.682627164399133,0.01634419291476932,-1.74,25
25,UY Boo,-0.18653243647554374,9.695967000000003,0.02583200375503225,10.459626662802028,0.06931431294560958,-2.56,26
26,UY Cyg,-0.2512657415316556,9.615800000000004,0.04879378487061647,10.10318668561341,0.053395455815928326,-0.8,27
27,V Ind,-0.3191192861667862,8.829779000000002,0.017221335836688164,9.132853394108517,0.03116200346394066,-1.5,28
28,V0440 Sgr,-0.32104587898703396,9.061231,0.022961781115584216,9.28358297227529,0.03695614818908744,-1.4,29
29,V0675 Sgr,-0.19226931290675137,8.872074000000001,0.020091558476136192,9.632605224510502,0.03855221331766804,-2.28,30
30,VX Her,-0.3416452741940381,9.591185000000003,0.02583200375503225,9.913296359998288,0.06318180921851228,-1.58,31
31,W Crt,-0.38508740473312725,10.465256,0.020091558476136192,10.374425136240445,0.07598489649328607,-0.54,32
32,WY Ant,-0.24082670166730225,9.550891000000004,0.011480890557792108,10.046662928297154,0.051541092316983984,-1.48,33
33,X Ari,-0.18630369520671122,7.849902000000002,0.019382816229846476,8.641958959070081,0.02458579159273841,-2.43,34
34,XX And,-0.14100769343571815,9.366023000000002,0.02583200375503225,10.254102440765383,0.05480936227763532,-1.94,35
35,XZ Cyg,-0.33105587984693996,8.638464,0.022961781115584216,9.000766834385376,0.022556999159292518,-1.44,36
