Star	Wesenheit Magnitude	Uncertainty in Wesenheit Magnitude	Log Period
Andromeda XVI: V0	23.828	0.086	-0.206
Andromeda XVI: V0	23.828	0.086	-0.206
Carina I: 158	18.633	0.086	-0.199
Draco: 276	15.868	0.086	-0.197
Draco: 321	16.548	0.086	-0.224
Draco: 327	16.317	0.086	-0.209
Fornax: Star 77	20.323	0.086	-0.0
Fornax: Star 81	18.794	0.086	-0.29
Fornax: Star 272	18.615	0.086	-0.274
Leo P: 10	25.589	0.086	-0.469
NGC 147: V029	23.285	0.086	0.067
NGC 147: V036	22.647	0.086	-0.215
NGC 147: V081	22.789	0.086	-0.24
NGC 147: V103	23.845	0.086	-0.128
NGC 147: V118	22.963	0.086	-0.272
NGC 185: V034	22.813	0.086	-0.302
NGC 185: V045	22.864	0.086	0.027
NGC 185: V169	22.914	0.086	-0.301
NGC 185: V178	22.185	0.086	-0.228
NGC 185: V247	22.914	0.086	-0.316
NGC 185: V270	22.461	0.086	-0.314
NGC 185: V420	21.548	0.086	-0.257
NGC 185: V429	22.783	0.086	-0.281
NGC 185: V459	22.492	0.086	-0.222
NGC 185: V503	22.518	0.086	-0.197
NGC 185: V505	22.686	0.086	-0.285
Sculptor: scl-CEMV001	18.917	0.086	-0.376
Sculptor: scl-CEMV171	17.498	0.086	0.085
Sculptor: scl-CEMV232	19.248	0.086	0.063
Sculptor: scl-CEMV247	17.809	0.086	-0.26
Sculptor: scl-CEMV478	17.146	0.086	-0.215
Sculptor: scl-CEMV609	17.433	0.086	-0.206
Sculptor: scl-CEMV610	18.811	0.086	0.312
Sculptor: scl-CEMV614	19.28	0.086	0.071
Canes Venatici I: V7	20.554	0.152	-0.174
Canes Venatici I: V17	20.426	0.152	-0.237
